epoch,batch,iter,loss,prec1,prec5,lr
1,1,1,0.671599567,46.875,100,0.06
1,2,2,0.086274959,100,100,0.06
1,3,3,0.598114133,87.5,100,0.06
1,4,4,0.002347209,100,100,0.06
1,5,5,0.000462483,100,100,0.06
1,6,6,1.247826815,87.5,100,0.06
1,7,7,1.28617382,87.5,100,0.06
1,8,8,1.78E-05,100,100,0.06
1,9,9,1.476863861,87.5,100,0.06
1,10,10,5.08E-06,100,100,0.06
1,11,11,3.45E-06,100,100,0.06
1,12,12,2.30E-06,100,100,0.06
1,13,13,9.57E-07,100,100,0.06
1,14,14,8.27E-07,100,100,0.06
1,15,15,5.77E-07,100,100,0.06
1,16,16,6.63E-07,100,100,0.06
1,17,17,2.79E-07,100,100,0.06
1,18,18,2.27E-07,100,100,0.06
1,19,19,2.179352045,87.5,100,0.06
1,20,20,1.64E-07,100,100,0.06
1,21,21,1.79E-07,100,100,0.06
1,22,22,2.27E-07,100,100,0.06
1,23,23,1.83E-07,100,100,0.06
1,24,24,1.97E-07,100,100,0.06
1,25,25,1.45E-07,100,100,0.06
1,26,26,2.052081585,87.5,100,0.06
1,27,27,1.641038299,87.5,100,0.06
1,28,28,5.14E-07,100,100,0.06
1,29,29,5.55E-07,100,100,0.06
1,30,30,1.77041173,87.5,100,0.06
1,31,31,7.93E-07,100,100,0.06
1,32,32,3.07E-06,100,100,0.06
1,33,33,2.151822805,87.5,100,0.06
1,34,34,7.81E-06,100,100,0.06
1,35,35,6.49E-06,100,100,0.06
1,36,36,1.408628464,87.5,100,0.06
1,37,37,1.337389112,87.5,100,0.06
1,38,38,3.047124863,75,100,0.06
1,39,39,1.26E-05,100,100,0.06
1,40,40,0.816787601,87.5,100,0.06
1,41,41,0.000245011,100,100,0.06
1,42,42,0.000631907,100,100,0.06
1,43,43,0.000180409,100,100,0.06
1,44,44,1.028176308,87.5,100,0.06
1,45,45,0.001583707,100,100,0.06
1,46,46,0.000639047,100,100,0.06
1,47,47,1.450698256,75,100,0.06
1,48,48,0.000293447,100,100,0.06
1,49,49,0.039852135,100,100,0.06
1,50,50,0.007212201,100,100,0.06
1,51,51,0.002347935,100,100,0.06
1,52,52,0.672338068,90.625,100,0.06
1,53,53,0.000538796,100,100,0.06
1,54,54,0.029720854,100,100,0.06
1,55,55,0.001612731,100,100,0.06
1,56,56,0.007752489,100,100,0.06
1,57,57,0.023826212,100,100,0.06
1,58,58,0.018396238,100,100,0.06
1,59,59,0.008961188,100,100,0.06
1,60,60,0.029511178,96.875,100,0.06
1,61,61,0.094715469,93.75,100,0.06
1,62,62,0.001883917,100,100,0.06
1,63,63,0.002161152,100,100,0.06
1,64,64,0.001844063,100,100,0.06
1,65,65,0.002609354,100,100,0.06
1,66,66,0.006732952,100,100,0.06
1,67,67,0.001443093,100,100,0.06
1,68,68,0.002801777,100,100,0.06
1,69,69,0.001827913,100,100,0.06
1,70,70,0.709845662,87.5,100,0.06
1,71,71,0.002126991,100,100,0.06
1,72,72,0.003881919,100,100,0.06
1,73,73,0.001659538,100,100,0.06
1,74,74,0.002628404,100,100,0.06
1,75,75,0.003546043,100,100,0.06
1,76,76,0.002113589,100,100,0.06
1,77,77,1.128927112,75,100,0.06
1,78,78,0.009520713,100,100,0.06
1,79,79,2.022291422,75,100,0.06
1,80,80,0.384956121,90.625,100,0.06
1,81,81,0.348833174,93.75,100,0.06
1,82,82,0.008539239,100,100,0.06
1,83,83,0.017603427,100,100,0.06
1,84,84,0.166771069,96.875,100,0.06
1,85,85,0.009821011,100,100,0.06
1,86,86,0.031800609,96.875,100,0.06
1,87,87,0.549284279,81.25,100,0.06
1,88,88,0.011268901,100,100,0.06
1,89,89,0.012507317,100,100,0.06
1,90,90,0.015176204,100,100,0.06
1,91,91,0.050790779,100,100,0.06
1,92,92,0.778347015,87.5,100,0.06
1,93,93,0.260155499,90.625,100,0.06
1,94,94,0.037892729,100,100,0.06
1,95,95,0.040814061,100,100,0.06
1,96,96,0.033088312,100,100,0.06
1,97,97,0.03175335,100,100,0.06
1,98,98,0.039118513,100,100,0.06
1,99,99,0.059436418,96.875,100,0.06
1,100,100,0.035476882,100,100,0.06
1,101,101,0.033491079,100,100,0.06
1,102,102,0.038161535,100,100,0.06
1,103,103,0.452657849,87.5,100,0.06
1,104,104,0.934007943,78.125,100,0.06
1,105,105,0.026684118,100,100,0.06
2,1,106,0.422221869,87.5,100,0.06
2,2,107,0.058300406,96.875,100,0.06
2,3,108,0.083319485,93.75,100,0.06
2,4,109,0.036305595,100,100,0.06
2,5,110,0.040650669,100,100,0.06
2,6,111,0.0573764,100,100,0.06
2,7,112,0.048037548,100,100,0.06
2,8,113,0.044194531,100,100,0.06
2,9,114,0.195939749,93.75,100,0.06
2,10,115,0.279301316,89.2857132,100,0.06
2,11,116,0.038611844,100,100,0.06
2,12,117,0.041966096,100,100,0.06
2,13,118,0.050962396,100,100,0.06
2,14,119,0.143629268,96.875,100,0.06
2,15,120,0.132001951,96.875,100,0.06
2,16,121,0.198075309,93.75,100,0.06
2,17,122,0.072851673,96.875,100,0.06
2,18,123,0.028701339,100,100,0.06
2,19,124,0.025126588,100,100,0.06
2,20,125,0.336047143,87.5,100,0.06
2,21,126,0.025203478,100,100,0.06
2,22,127,0.104186088,96.875,100,0.06
2,23,128,0.141500667,93.75,100,0.06
2,24,129,0.059606452,100,100,0.06
2,25,130,0.026007878,100,100,0.06
2,26,131,0.163919464,93.75,100,0.06
2,27,132,0.016252909,100,100,0.06
2,28,133,0.019106857,100,100,0.06
2,29,134,0.102409899,93.75,100,0.06
2,30,135,0.017964959,100,100,0.06
2,31,136,0.015934221,100,100,0.06
2,32,137,0.561162949,87.5,100,0.06
2,33,138,0.023585055,100,100,0.06
2,34,139,0.026804434,100,100,0.06
2,35,140,0.020456605,100,100,0.06
2,36,141,0.022610065,100,100,0.06
2,37,142,0.023080325,100,100,0.06
2,38,143,0.020418378,100,100,0.06
2,39,144,0.024616551,100,100,0.06
2,40,145,0.025730373,100,100,0.06
2,41,146,0.020419378,100,100,0.06
2,42,147,0.014753677,100,100,0.06
2,43,148,0.019576587,100,100,0.06
2,44,149,0.017887471,100,100,0.06
2,45,150,0.293333709,93.75,100,0.06
2,46,151,0.888348639,81.25,100,0.06
2,47,152,0.150288135,96.875,100,0.06
2,48,153,0.01335988,100,100,0.06
2,49,154,0.021015408,100,100,0.06
2,50,155,0.011925105,100,100,0.06
2,51,156,0.533527851,87.5,100,0.06
2,52,157,0.019452266,100,100,0.06
2,53,158,0.023679769,100,100,0.06
2,54,159,0.103423394,96.875,100,0.06
2,55,160,0.045315526,100,100,0.06
2,56,161,0.022688657,100,100,0.06
2,57,162,0.021289265,100,100,0.06
2,58,163,0.023889737,100,100,0.06
2,59,164,0.099760093,96.875,100,0.06
2,60,165,0.019285982,100,100,0.06
2,61,166,0.02046556,100,100,0.06
2,62,167,0.019960217,100,100,0.06
2,63,168,0.014330928,100,100,0.06
2,64,169,0.50451535,87.5,100,0.06
2,65,170,0.02267547,100,100,0.06
2,66,171,0.308982879,87.5,100,0.06
2,67,172,0.017453765,100,100,0.06
2,68,173,0.019153208,100,100,0.06
2,69,174,0.228101373,87.5,100,0.06
2,70,175,0.023621101,100,100,0.06
2,71,176,0.172293365,90.625,100,0.06
2,72,177,0.053373296,100,100,0.06
2,73,178,0.100449577,90.625,100,0.06
2,74,179,0.058208931,96.875,100,0.06
2,75,180,0.128696635,93.75,100,0.06
2,76,181,0.112179354,96.875,100,0.06
2,77,182,0.028167026,100,100,0.06
2,78,183,0.342469186,87.5,100,0.06
2,79,184,0.019270409,100,100,0.06
2,80,185,0.134771809,96.875,100,0.06
2,81,186,0.189715773,93.75,100,0.06
2,82,187,0.026565185,100,100,0.06
2,83,188,0.053174101,96.875,100,0.06
2,84,189,0.032162704,100,100,0.06
2,85,190,0.027322264,100,100,0.06
2,86,191,0.016524537,100,100,0.06
2,87,192,0.022311779,100,100,0.06
2,88,193,0.391337126,87.5,100,0.06
2,89,194,0.03405397,100,100,0.06
2,90,195,0.342070431,87.5,100,0.06
2,91,196,0.025102986,100,100,0.06
2,92,197,0.030605502,100,100,0.06
2,93,198,0.017691972,100,100,0.06
2,94,199,0.027345652,100,100,0.06
2,95,200,0.017555432,100,100,0.06
2,96,201,0.034186121,100,100,0.06
2,97,202,0.016662801,100,100,0.06
2,98,203,0.029517261,100,100,0.06
2,99,204,0.014607877,100,100,0.06
2,100,205,0.029377889,100,100,0.06
2,101,206,0.012921467,100,100,0.06
2,102,207,0.024111982,100,100,0.06
2,103,208,0.019497588,100,100,0.06
2,104,209,0.017202789,100,100,0.06
2,105,210,0.014079038,100,100,0.06
3,1,211,0.015419722,100,100,0.06
3,2,212,0.012591045,100,100,0.06
3,3,213,0.009500088,100,100,0.06
3,4,214,0.005335335,100,100,0.06
3,5,215,0.006006877,100,100,0.06
3,6,216,0.009171569,100,100,0.06
3,7,217,0.042913768,96.875,100,0.06
3,8,218,0.00537265,100,100,0.06
3,9,219,0.004285775,100,100,0.06
3,10,220,0.00342981,100,100,0.06
3,11,221,0.082087249,96.875,100,0.06
3,12,222,0.004066122,100,100,0.06
3,13,223,0.005922817,100,100,0.06
3,14,224,0.004108073,100,100,0.06
3,15,225,0.004975093,100,100,0.06
3,16,226,0.005768699,100,100,0.06
3,17,227,0.464952826,87.5,100,0.06
3,18,228,0.1430244,96.875,100,0.06
3,19,229,0.00499324,100,100,0.06
3,20,230,0.007682941,100,100,0.06
3,21,231,0.020063134,100,100,0.06
3,22,232,0.123891257,96.875,100,0.06
3,23,233,0.227345467,93.75,100,0.06
3,24,234,0.008139527,100,100,0.06
3,25,235,0.006985856,100,100,0.06
3,26,236,0.013199626,100,100,0.06
3,27,237,0.093901552,96.875,100,0.06
3,28,238,0.006386425,100,100,0.06
3,29,239,0.016035622,100,100,0.06
3,30,240,0.011884499,100,100,0.06
3,31,241,0.014127787,100,100,0.06
3,32,242,0.182935879,96.875,100,0.06
3,33,243,0.013007856,100,100,0.06
3,34,244,0.01782137,100,100,0.06
3,35,245,0.009591945,100,100,0.06
3,36,246,0.136019796,96.875,100,0.06
3,37,247,0.013645673,100,100,0.06
3,38,248,0.012953876,100,100,0.06
3,39,249,0.099829249,96.875,100,0.06
3,40,250,0.040702321,100,100,0.06
3,41,251,0.112220347,96.875,100,0.06
3,42,252,0.014005373,100,100,0.06
3,43,253,0.013020247,100,100,0.06
3,44,254,0.276152074,87.5,100,0.06
3,45,255,0.017205287,100,100,0.06
3,46,256,0.098672144,93.75,100,0.06
3,47,257,0.063457869,100,100,0.06
3,48,258,0.092866592,96.875,100,0.06
3,49,259,0.465641648,87.5,100,0.06
3,50,260,0.563995004,85.7142868,100,0.06
3,51,261,0.388190627,87.5,100,0.06
3,52,262,0.114222921,90.625,100,0.06
3,53,263,0.530151546,87.5,100,0.06
3,54,264,0.111907616,96.875,100,0.06
3,55,265,0.072338171,100,100,0.06
3,56,266,0.044812545,100,100,0.06
3,57,267,0.351246119,84.375,100,0.06
3,58,268,0.08866214,93.75,100,0.06
3,59,269,0.032588441,100,100,0.06
3,60,270,0.031432778,100,100,0.06
3,61,271,0.045982126,100,100,0.06
3,62,272,0.048567712,100,100,0.06
3,63,273,0.04910541,100,100,0.06
3,64,274,0.255095929,90.625,100,0.06
3,65,275,0.027215082,100,100,0.06
3,66,276,0.031840663,100,100,0.06
3,67,277,0.030980814,100,100,0.06
3,68,278,0.298517555,87.5,100,0.06
3,69,279,0.263306797,93.75,100,0.06
3,70,280,0.032176107,100,100,0.06
3,71,281,0.024499008,100,100,0.06
3,72,282,0.026251242,100,100,0.06
3,73,283,0.022587117,100,100,0.06
3,74,284,0.030539444,100,100,0.06
3,75,285,0.024601579,100,100,0.06
3,76,286,0.096043937,96.875,100,0.06
3,77,287,0.027687483,100,100,0.06
3,78,288,0.298377961,87.5,100,0.06
3,79,289,0.31495285,87.5,100,0.06
3,80,290,0.019508222,100,100,0.06
3,81,291,0.044115588,100,100,0.06
3,82,292,0.041640036,100,100,0.06
3,83,293,0.374339789,81.25,100,0.06
3,84,294,0.026354924,100,100,0.06
3,85,295,0.124294847,93.75,100,0.06
3,86,296,0.022368785,100,100,0.06
3,87,297,0.017555585,100,100,0.06
3,88,298,0.016977217,100,100,0.06
3,89,299,0.019384144,100,100,0.06
3,90,300,0.017032865,100,100,0.06
3,91,301,0.151414499,90.625,100,0.06
3,92,302,0.011150133,100,100,0.06
3,93,303,0.015074309,100,100,0.06
3,94,304,0.18951799,90.625,100,0.06
3,95,305,0.42255187,87.5,100,0.06
3,96,306,0.013521916,100,100,0.06
3,97,307,0.016281297,100,100,0.06
3,98,308,0.012853129,100,100,0.06
3,99,309,0.105729446,96.875,100,0.06
3,100,310,0.015473622,100,100,0.06
3,101,311,0.017532641,100,100,0.06
3,102,312,0.020646811,100,100,0.06
3,103,313,0.080647781,96.875,100,0.06
3,104,314,0.021749893,100,100,0.06
3,105,315,0.0153202,100,100,0.06
4,1,421,0.369747053,94.781667,100,0.06
4,2,422,0.052388803,98.95833333,100,0.06
4,3,423,0.230311235,93.75,100,0.06
4,4,424,0.014662713,95.83333333,100,0.06
4,5,425,0.015706676,95.83333333,100,0.06
4,6,426,0.438124928,95.83333333,100,0.06
4,7,427,0.459041712,94.79166667,100,0.06
4,8,428,0.016528316,95.83333333,100,0.06
4,9,429,0.559029795,93.75,100,0.06
4,10,430,0.094245404,96.42857107,100,0.06
4,11,431,0.040234181,98.95833333,100,0.06
4,12,432,0.01534484,95.83333333,100,0.06
4,13,433,0.018962057,95.83333333,100,0.06
4,14,434,0.049246056,98.95833333,100,0.06
4,15,435,0.045659207,98.95833333,100,0.06
4,16,436,0.067948224,97.91666667,100,0.06
4,17,437,0.17926826,94.79166667,100,0.06
4,18,438,0.057241989,98.95833333,100,0.06
4,19,439,0.736490624,95.83333333,100,0.06
4,20,440,0.114576749,95.83333333,100,0.06
4,21,441,0.01508893,95.83333333,100,0.06
4,22,442,0.076025857,97.91666667,100,0.06
4,23,443,0.122948772,95.83333333,100,0.06
4,24,444,0.022582059,95.83333333,100,0.06
4,25,445,0.01099796,95.83333333,100,0.06
4,26,446,0.743066892,93.75,100,0.06
4,27,447,0.58373092,94.79166667,100,0.06
4,28,448,0.008497932,95.83333333,100,0.06
4,29,449,0.039482025,97.91666667,100,0.06
4,30,450,0.600087063,95.83333333,100,0.06
4,31,451,0.010020934,95.83333333,100,0.06
4,32,452,0.248033964,94.79166667,100,0.06
4,33,453,0.729471905,95.83333333,100,0.06
4,34,454,0.014877872,95.83333333,100,0.06
4,35,455,0.010018346,95.83333333,100,0.06
4,36,456,0.522419441,94.79166667,100,0.06
4,37,457,0.45803837,95.83333333,100,0.06
4,38,458,1.026832372,91.66666667,100,0.06
4,39,459,0.041486119,98.95833333,100,0.06
4,40,460,0.294406765,95.83333333,100,0.06
4,41,461,0.044294912,98.95833333,100,0.06
4,42,462,0.009796986,95.83333333,100,0.06
4,43,463,0.010925748,95.83333333,100,0.06
4,44,464,0.440738618,91.66666667,100,0.06
4,45,465,0.104040901,97.91666667,100,0.06
4,46,466,0.329219943,91.66666667,100,0.06
4,47,467,0.554814753,90.625,100,0.06
4,48,468,0.03550664,98.95833333,100,0.06
4,49,469,0.175503063,95.83333333,100,0.06
4,50,470,0.194377436,95.2380956,100,0.06
4,51,471,0.308022138,91.66666667,100,0.06
4,52,472,0.268671085,93.75,100,0.06
4,53,473,0.184790037,95.83333333,100,0.06
4,54,474,0.081683955,97.91666667,100,0.06
4,55,475,0.039755476,95.83333333,100,0.06
4,56,476,0.025084564,95.83333333,100,0.06
4,57,477,0.132120532,94.79166667,100,0.06
4,58,478,0.043649372,97.91666667,100,0.06
4,59,479,0.04710324,98.95833333,100,0.06
4,60,480,0.026743313,98.95833333,100,0.06
4,61,481,0.053721052,97.91666667,100,0.06
4,62,482,0.023470615,95.83333333,100,0.06
4,63,483,0.02186583,95.83333333,100,0.06
4,64,484,0.253818447,92.70833333,100,0.06
4,65,485,0.017499968,95.83333333,100,0.06
4,66,486,0.115852165,95.83333333,100,0.06
4,67,487,0.016625891,95.83333333,100,0.06
4,68,488,0.10682418,95.83333333,100,0.06
4,69,489,0.164412027,93.75,100,0.06
4,70,490,0.25521429,96.87533333,100,0.06
4,71,491,0.066306455,96.875,100,0.06
4,72,492,0.027835486,96.875,100,0.06
4,73,493,0.04156541,96.875,100,0.06
4,74,494,0.030458926,98.95833333,100,0.06
4,75,495,0.052281419,97.91666667,100,0.06
4,76,496,0.070112293,97.91666667,100,0.06
4,77,497,0.394927207,91.66666667,100,0.06
4,78,498,0.216789287,91.66666667,100,0.06
4,79,499,0.785504894,87.5,100,0.06
4,80,500,0.179745384,96.87533333,100,0.06
4,81,501,0.194221511,96.87533333,100,0.06
4,82,502,0.025581487,96.875,100,0.06
4,83,503,0.148372439,92.70833333,100,0.06
4,84,504,0.075096232,98.95833333,100,0.06
4,85,505,0.053812707,97.91666667,100,0.06
4,86,506,0.023564644,98.95833333,100,0.06
4,87,507,0.196383881,93.75,100,0.06
4,88,508,0.139861081,96.87533333,100,0.06
4,89,509,0.02198181,96.875,100,0.06
4,90,510,0.124759833,96.87533333,100,0.06
4,91,511,0.075769421,96.875,100,0.06
4,92,512,0.27336755,96.87533333,100,0.06
4,93,513,0.097640593,96.875,100,0.06
4,94,514,0.08491879,96.875,100,0.06
4,95,515,0.160307121,96.87533333,100,0.06
4,96,516,0.026932116,96.875,100,0.06
4,97,517,0.021565816,96.875,100,0.06
4,98,518,0.027162968,96.875,100,0.06
4,99,519,0.05992458,97.91666667,100,0.06
4,100,520,0.026776131,96.875,100,0.06
4,101,521,0.021315062,96.875,100,0.06
4,102,522,0.027640109,96.875,100,0.06
4,103,523,0.184267739,94.79166667,100,0.06
4,104,524,0.324320208,92.70833333,100,0.06
4,105,525,0.018694452,96.875,100,0.06
